Date,Open,High,Low,Close,Adj Close,Volume,Name
13-06-2019,194.699997,196.789993,193.600006,194.149994,194.149994,21674600,AAPL
13-06-2019,1866.719971,1883.089966,1862.219971,1870.300049,1870.300049,2795800,AMZN
13-06-2019,175.529999,178.029999,174.610001,177.470001,177.470001,12253600,FB
13-06-2019,1083.640015,1094.170044,1080.150024,1088.77002,1088.77002,1057700,GOOG
13-06-2019,347.230011,348.5,339.25,343.429993,343.429993,6209300,NFLX
13-06-2019,210.380005,214.899994,207.509995,213.910004,213.910004,8168300,TSLA
12-06-2019,193.949997,195.970001,193.389999,194.190002,194.190002,18253200,AAPL
12-06-2019,1853.97998,1865,1844.380005,1855.319946,1855.319946,2678300,AMZN
12-06-2019,178.380005,179.270004,172.880005,175.039993,175.039993,17699800,FB
12-06-2019,1078,1080.930054,1067.540039,1077.030029,1077.030029,1061000,GOOG
12-06-2019,351.820007,353.609985,343.230011,345.559998,345.559998,4584700,NFLX
12-06-2019,222.949997,223.380005,209,209.259995,209.259995,15197500,TSLA
11-06-2019,194.860001,196,193.600006,194.809998,194.809998,26932900,AAPL
11-06-2019,1883.25,1893.699951,1858,1863.699951,1863.699951,4042700,AMZN
11-06-2019,178.479996,179.979996,176.789993,178.100006,178.100006,15266600,FB
11-06-2019,1093.97998,1101.98999,1077.603027,1078.719971,1078.719971,1436700,GOOG
11-06-2019,355,357.579987,348.5,351.269989,351.269989,5396700,NFLX
11-06-2019,219.139999,220.899994,213.5,217.100006,217.100006,11653500,TSLA
10-06-2019,191.809998,195.369995,191.619995,192.580002,192.580002,26220900,AAPL
10-06-2019,1822,1884.869995,1818,1860.630005,1860.630005,5371000,AMZN
10-06-2019,174.75,177.860001,173.800003,174.820007,174.820007,14767900,FB
10-06-2019,1072.97998,1092.660034,1072.322021,1080.380005,1080.380005,1464200,GOOG
10-06-2019,363.649994,367.100006,349.290009,352.01001,352.01001,7810300,NFLX
10-06-2019,210.25,216.940002,209.009995,212.880005,212.880005,10585000,TSLA
07-06-2019,186.509995,191.919998,185.770004,190.149994,190.149994,30684400,AAPL
07-06-2019,1763.699951,1806.25,1759.48999,1804.030029,1804.030029,4808200,AMZN
07-06-2019,170.169998,173.869995,168.839996,173.350006,173.350006,16917300,FB
07-06-2019,1050.630005,1070.920044,1048.400024,1066.040039,1066.040039,1802400,GOOG
07-06-2019,357.390015,365.149994,355.690002,360.869995,360.869995,4777300,NFLX
07-06-2019,205,210.839996,203.5,204.5,204.5,16003500,TSLA
06-06-2019,183.080002,185.470001,182.149994,185.220001,185.220001,22526300,AAPL
06-06-2019,1737.709961,1760,1726.130005,1754.359985,1754.359985,3689300,AMZN
06-06-2019,168.300003,169.699997,167.229996,168.330002,168.330002,12446400,FB
06-06-2019,1044.98999,1047.48999,1033.699951,1044.339966,1044.339966,1703200,GOOG
06-06-2019,354.839996,358.209991,352.089996,357.130005,357.130005,3710000,NFLX
06-06-2019,204.440002,211,201.800003,205.949997,205.949997,20242200,TSLA
05-06-2019,184.279999,184.990005,181.139999,182.539993,182.539993,29773400,AAPL
05-06-2019,1749.599976,1752,1715.25,1738.5,1738.5,4239800,AMZN
05-06-2019,167.479996,168.720001,164.630005,168.169998,168.169998,19758300,FB
05-06-2019,1051.540039,1053.550049,1030.48999,1042.219971,1042.219971,2168400,GOOG
05-06-2019,354.380005,357.880005,348.709991,355.730011,355.730011,5020100,NFLX
05-06-2019,198.679993,201.279999,191.850006,196.589996,196.589996,13510800,TSLA
04-06-2019,175.440002,179.830002,174.520004,179.639999,179.639999,30968000,AAPL
04-06-2019,1699.23999,1730.819946,1680.890015,1729.560059,1729.560059,5679100,AMZN
04-06-2019,163.710007,168.279999,160.839996,167.5,167.5,46044300,FB
04-06-2019,1042.900024,1056.050049,1033.689941,1053.050049,1053.050049,2833500,GOOG
04-06-2019,345,353.609985,343.25,353.399994,353.399994,7891600,NFLX
04-06-2019,181.100006,193.979996,179.610001,193.600006,193.600006,13807500,TSLA
03-06-2019,175.600006,177.919998,170.270004,173.300003,173.300003,40396100,AAPL
03-06-2019,1760.01001,1766.290039,1672,1692.689941,1692.689941,9098700,AMZN
03-06-2019,175,175.050003,161.009995,164.149994,164.149994,56059600,FB
03-06-2019,1065.5,1065.5,1025,1036.22998,1036.22998,5130600,GOOG
03-06-2019,343.559998,347.660004,332.649994,336.630005,336.630005,7849600,NFLX
03-06-2019,185.509995,186.679993,176.990005,178.970001,178.970001,13064400,TSLA
31-05-2019,176.229996,177.990005,174.990005,175.070007,175.070007,27043600,AAPL
31-05-2019,1790.01001,1795.589966,1772.699951,1775.069946,1775.069946,4618800,AMZN
31-05-2019,180.279999,180.539993,177.160004,177.470001,177.470001,15226500,FB
31-05-2019,1101.290039,1109.599976,1100.180054,1103.630005,1103.630005,1507800,GOOG
31-05-2019,347.220001,349.339996,342.920013,343.279999,343.279999,5023400,NFLX
31-05-2019,185.100006,189.919998,184.100006,185.160004,185.160004,10406700,TSLA
30-05-2019,177.949997,179.229996,176.669998,178.300003,178.300003,21218400,AAPL
30-05-2019,1825.48999,1829.469971,1807.829956,1816.319946,1816.319946,3146900,AMZN
30-05-2019,183.080002,183.479996,180.889999,183.009995,183.009995,8581500,FB
30-05-2019,1115.540039,1123.130005,1112.119995,1117.949951,1117.949951,951900,GOOG
30-05-2019,350.549988,354.209991,348.299988,351.850006,351.850006,4008000,NFLX
30-05-2019,188.75,192.259995,187.020004,188.220001,188.220001,7926500,TSLA
29-05-2019,176.419998,179.350006,176,177.380005,177.380005,28481200,AAPL
29-05-2019,1823.119995,1830,1807.530029,1819.189941,1819.189941,4279000,AMZN
29-05-2019,183.5,184.559998,181.350006,182.190002,182.190002,12797700,FB
29-05-2019,1127.52002,1129.099976,1108.219971,1116.459961,1116.459961,1538200,GOOG
29-05-2019,353.600006,353.850006,345.899994,349.190002,349.190002,5658900,NFLX
29-05-2019,187.100006,192.389999,185.039993,189.860001,189.860001,11968600,TSLA
28-05-2019,178.919998,180.589996,177.910004,178.229996,178.229996,27948200,AAPL
28-05-2019,1832.75,1849.27002,1827.349976,1836.430054,1836.430054,3200000,AMZN
28-05-2019,181.539993,184.710007,181.449997,184.309998,184.309998,14843300,FB
28-05-2019,1134,1151.587036,1133.119995,1134.150024,1134.150024,1365000,GOOG
28-05-2019,354.390015,361.200012,353.649994,355.059998,355.059998,4717100,NFLX
28-05-2019,191.199997,195,187.850006,188.699997,188.699997,10312900,TSLA
24-05-2019,180.199997,182.139999,178.619995,178.970001,178.970001,23714700,AAPL
24-05-2019,1835.890015,1841.76001,1817.849976,1823.280029,1823.280029,3369700,AMZN
24-05-2019,182.330002,183.630005,180.830002,181.059998,181.059998,8807700,FB
24-05-2019,1147.359985,1149.765015,1131.660034,1133.469971,1133.469971,1112000,GOOG
24-05-2019,355.410004,359.440002,353.790009,354.390015,354.390015,3831000,NFLX
24-05-2019,199.830002,199.979996,188.75,190.630005,190.630005,14136600,TSLA
23-05-2019,179.800003,180.539993,177.809998,179.660004,179.660004,36529700,AAPL
23-05-2019,1836.589966,1844,1804.199951,1815.47998,1815.47998,4424300,AMZN
23-05-2019,182.419998,183.899994,179.669998,180.869995,180.869995,12768800,FB
23-05-2019,1140.5,1145.973022,1129.223999,1140.77002,1140.77002,1198900,GOOG
23-05-2019,355.5,357.420013,347.700012,352.209991,352.209991,5630400,NFLX
23-05-2019,194.339996,199.470001,186.220001,195.490005,195.490005,26547100,TSLA
22-05-2019,184.660004,185.710007,182.550003,182.779999,182.779999,29748600,AAPL
22-05-2019,1851.780029,1871.48999,1851,1859.680054,1859.680054,2936600,AMZN
22-05-2019,184.729996,186.740005,183.610001,185.320007,185.320007,9213800,FB
22-05-2019,1146.75,1158.52002,1145.890015,1151.420044,1151.420044,914500,GOOG
22-05-2019,358.01001,370.459991,357.299988,359.730011,359.730011,6229400,NFLX
22-05-2019,199.100006,203.940002,191.779999,192.729996,192.729996,18685200,TSLA
21-05-2019,185.220001,188,184.699997,186.600006,186.600006,28364800,AAPL
